urlid,coef,url
d1,9.45,https://en.wikipedia.org/wiki/American_Revolutionary_War
d10,0.00,http://loc.gov/teachers/classroommaterials/presentationsandactivities/presentations/timeline/amrev/
d11,0.00,https://www.myrevolutionarywar.com/
d12,61.01,http://www.ushistory.org/declaration/revwartimeline.html
d15,0.00,https://chrontime.com/sobytiya-amerikanskaya-revolyuciya
d17,9.61,http://www.lki.ru/text.php?id=4584
d18,0.00,https://ru.wikipedia.org/wiki/%D0%98%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F_%D0%9D%D0%B8%D0%B4%D0%B5%D1%80%D0%BB%D0%B0%D0%BD%D0%B4%D0%BE%D0%B2
d2,25.66,https://infotratamiento.com/consejos-salud/mal-de-altura/
d27,0.00,https://www.drugs.com/health-guide/altitude-sickness.html
d28,0.00,https://en.wikipedia.org/wiki/Altitude_sickness
d29,0.00,https://pt.wikipedia.org/wiki/Guerra_Revolucion%C3%A1ria_Americana
d3,0.00,https://es.wikipedia.org/wiki/Guerra_de_Independencia_de_los_Estados_Unidos
d30,100.00,https://es.wikipedia.org/wiki/Segunda_Guerra_Anglo-Mysore
d31,0.00,https://prezi.com/hsal48jpgwex/guerra-revolucionaria-americana/
d32,0.00,https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B9%D0%BD%D0%B0_%D0%B7%D0%B0_%D0%BD%D0%B5%D0%B7%D0%B0%D0%B2%D0%B8%D1%81%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D1%8C_%D0%A1%D0%A8%D0%90
d33,7.03,http://usa-info.com.ua/history/independence_war.html
d35,0.00,https://www.msxlabs.org/forum/tarih/370611-amerikan-devrimi-ve-bagimsizlik-savasi.html
d36,0.00,https://en.wikipedia.org/wiki/American_Revolution
d4,0.00,http://www.healthline.com/health/altitude-sickness
d6,90.09,http://www.history.com/topics/american-revolution
d7,0.00,http://www.newworldencyclopedia.org/entry/American_Revolutionary_War
d8,64.43,https://www.britannica.com/event/American-Revolution
d9,100.00,https://www.nps.gov/features/warforfreedom/
