queryterm,urlid
american revolutionary,d36
american revolutionary war,d1,,d6,,d7,,d8,,d10,,d11,,d12
american revolutionary war español,d1
american war,d1
amerikan devrim savaşı,d35
el reino de mysore entró en la guerra contra gran bretaña en 1780,d30
guerra de la independencia americana,d3
guerra revolucionaria americana,d3,,d29,,d31
sintomas causas y prevencion del mal de altura,d2
symptoms,, causes and prevention of altitude sickness,d4,,d27,,d28
the american revolutionary war,d1
war of freedom,d9
американская война за независимость,d32,,d33
американская революция с 1773,d15,,d17
нидерланды получили значительную независимость а в результате американской революции,d18
