userID,0,1,2,3,4
6714482,13.23,0.0, 0.0,,
11582908,13.23,19.24,,,
25411600,13.23,21.7,,,
26079868,13.23,17.99, 0.0,,
28282475,13.23,18.69,,,
31265048,13.23,0.0,,,
33434416,13.23,21.86,,,
33792477,13.23,16.51, 0.0,,
35783314,13.23,25.42,,,
35912362,13.23,0.0,,,
36113457,13.23,27.46,,,
36181479,13.23,0.0, 16.77, 0.0,
36201092,13.23,0.0,,,
36377397,13.23,15.39, 0.0, 23.37,
36481014,13.23,8.12,,,
36972337,13.23,0.0,,,
38775014,13.23,18.08, 0.0,,
39033631,13.23,2.34, 0.0, 4.84,
39119481,13.23,0.0, 6.77,,
39378680,13.23,31.76, 0.0,,
39381568,13.23,17.83, 1.88, 19.19,
39616594,13.23,20.82, 20.39, 0.0,
39764508,13.23,56.77,,,
40102852,13.23,8.04,,,
41676176,13.23,0.0, 0.0, 0.0,
42082819,13.23,0.0, 0.0, 28.16,
42262643,13.23,18.65,,,
42607909,13.23,0.0, 0.0, 0.0,
43026943,13.23,5.18,,,
43125608,13.23,0.0, 0.0,,
43392254,13.23,14.34, 14.34,,
43476534,13.23,0.0,,,
43530879,13.23,28.9, 0.0, 37.87,
43694802,13.23,1.46, 30.58, 4.55, 0.0
43703523,13.23,1.53,,,
