userID,1,2,3,4
6714482,american revolutionary war,american revolutionary war,,
11582908,american revolutionary war,,,
25411600,american revolutionary war,,,
26079868,american revolutionary war,american revolutionary war,,
28282475,american revolutionary war,,,
31265048,guerra revolucionaria americana,,,
33434416,the american revolutionary war,,,
33792477,american revolutionary war,american revolutionary war,,
35783314,american revolutionary war,,,
35912362,guerra revolucionaria americana,,,
36113457,american revolutionary war,,,
36181479,американская революция с 1773,американская революция с 1773,нидерланды получили значительную независимость а в результате американской революции,
36201092,guerra revolucionaria americana,,,
36377397,american revolutionary war,american revolutionary war,american revolutionary war,
36481014,american revolutionary war,,,
36972337,american revolutionary,,,
38775014,american revolutionary war,american revolutionary war,,
39033631,american revolutionary war,american revolutionary war,american revolutionary war español,
39119481,американская война за независимость,американская война за независимость,,
39378680,american war,"symptoms, causes and prevention of altitude sickness",,
39381568,american revolutionary war,american revolutionary war,american revolutionary war,
39616594,american revolutionary war,american revolutionary war,american revolutionary war,
39764508,sintomas causas y prevencion del mal de altura,,,
40102852,american revolutionary war,,,
41676176,guerra revolucionaria americana,guerra revolucionaria americana,guerra revolucionaria americana,
42082819,guerra revolucionaria americana,guerra revolucionaria americana,el reino de mysore entró en la guerra contra gran bretaña en 1780,
42262643,american revolutionary war,,,
42607909,"symptoms, causes and prevention of altitude sickness","symptoms, causes and prevention of altitude sickness","symptoms, causes and prevention of altitude sickness",
43026943,war of freedom,,,
43125608,amerikan devrim savaşı,amerikan devrim savaşı,,
43392254,american revolutionary war,american revolutionary war,,
43476534,guerra de la independencia americana,,,
43530879,american revolutionary war,american revolutionary war,american revolutionary war,
43694802,american revolutionary war,american revolutionary war,american revolutionary war,american revolutionary war
43703523,american war,,,
