urlid,coef,url
d1,0.00,https://infotratamiento.com/consejos-salud/mal-de-altura/
d10,0.00,http://apatii.net/fobii/boyazn-vysoty
d12,14.92,http://www.wikihow.com/Prevent-Altitude-Sickness
d14,0.00,http://conditions.healthgrove.com/l/32/Altitude-Sickness
d16,0.00,http://www.medicalnewstoday.com/articles/179819.php
d17,14.19,http://altitudesicknesscure.com/
d18,0.00,http://www.medicinenet.com/altitude_sickness_symptoms/views.htm
d2,0.00,http://cae.ar.tripod.com/Publicaciones/prevencion_y_tratamiento_del_mal_de_altura.htm
d20,12.08,https://medlineplus.gov/ency/article/000133.htm
d23,0.00,http://es.wikihow.com/prevenir-el-mal-de-altura
d24,0.00,http://salud.ccm.net/faq/3095-mal-de-altura-sintomas-graves-y-tratamiento
d25,0.00,https://familydoctor.org/condition/high-altitude-illness/
d27,0.00,https://www.aheadhigher.com/
d29,0.00,https://en.wikipedia.org/wiki/Altitude
d3,0.00,http://www.sos-emergencias.es/document/malaltur/mal2.html
d30,0.00,http://www.smh.com.au/national/health/what-is-altitude-sickness-causes-symptoms-and-treatment-20160522-gp16i5.html
d32,3.36,https://ru.wikipedia.org/wiki/%D0%92%D1%8B%D1%81%D0%BE%D1%82%D0%BD%D0%B0%D1%8F_%D0%B1%D0%BE%D0%BB%D0%B5%D0%B7%D0%BD%D1%8C
d34,1.87,https://bizemusaade.wordpress.com/2013/05/03/yukseklik-hastaligi-dag-sarhoslugu-altitude-sickness/
d35,0.00,http://www.youtube.com/watch?v=vaC9Ch4eOrA
d36,0.00,https://www.evrensel.net/yazi/75967/yukseklik-hastaligi-savaslar-ve-devrimler
d37,0.00,http://www.erom.ru/zabol/zabol_v/vysotnaya_bolezn.html
d4,14.26,https://es.wikipedia.org/wiki/Mal_de_monta%C3%B1a
d5,1.36,http://www.healthline.com/health/altitude-sickness
d6,0.00,https://en.wikipedia.org/wiki/Altitude_sickness
d7,7.67,https://www.drugs.com/health-guide/altitude-sickness.html
d8,0.00,http://ru.wikihow.com/%D0%BF%D1%80%D0%B5%D0%BE%D0%B4%D0%BE%D0%BB%D0%B5%D1%82%D1%8C-%D0%B1%D0%BE%D1%8F%D0%B7%D0%BD%D1%8C-%D0%B2%D1%8B%D1%81%D0%BE%D1%82%D1%8B
d9,0.00,http://psihomed.com/akrofobiya/
