userID,0,1,2,3,4,5
6335542,13.09,15.39,16.17,,,
6715485,13.09,13.67,15.79,15.79,15.79,15.79
8057247,13.09,14.95,,,,
11311952,13.09,13.09,13.09,13.09,,
14662036,13.09,15.67,,,,
15505671,13.09,13.98,26.32,,,
21459945,13.09,15.88,,,,
25411600,13.09,13.09,,,,
28319952,13.09,14.40,19.87,,,
30055681,13.09,14.29,24.49,,,
31191730,13.09,13.56,27.60,27.60,27.60,27.60
32108646,13.09,30.08,,,,
36252499,13.09,13.21,13.21,13.21,13.21,
36437557,13.09,13.86,13.86,13.86,,
36531316,13.09,13.27,13.27,13.27,,
36938032,13.09,14.43,18.30,18.30,,
37888565,13.09,14.78,14.78,26.44,,
39474673,13.09,14.88,,,,
39616594,13.09,15.22,15.22,15.48,,
40062468,13.09,40.62,47.82,47.82,,
40102852,13.09,17.82,17.82,17.82,,
40180342,13.09,14.98,24.62,,,
40507163,13.09,15.39,25.34,,,
40557293,13.09,36.82,,,,
40667959,13.09,36.84,36.84,,,
40941178,13.09,14.71,,,,
41683720,13.09,13.09,13.09,13.09,,
42152204,13.09,14.10,14.10,18.19,,
42192898,13.09,13.09,13.09,13.09,,
42262643,13.09,13.66,42.11,,,
42530859,13.09,13.69,19.10,,,
42732325,13.09,14.01,,,,
43563855,13.09,14.50,14.50,14.50,,
43587540,13.09,16.63,19.05,22.17,,
43665081,13.09,16.68,,,,
43691638,13.09,13.70,,,,
43711765,13.09,14.36,24.15,,,
