userID,1,2,3,4,5
6335542,d5,d7,,,
6715485,d34,d34,d35,d35,d36
8057247,d5,,,,
11311952,d1,d23,d24,,
14662036,d5,,,,
15505671,d5,d12,,,
21459945,d5,,,,
25411600,d5,,,,
28319952,d5,d7,,,
30055681,d5,d7,,,
31191730,d5,d7,d14,d16,d30
32108646,d7,,,,
36252499,d5,d6,d7,d14,
36437557,d5,d6,d18,,
36531316,d5,d7,d30,,
36938032,d5,d7,d16,,
37888565,d5,d6,d20,,
39474673,d5,,,,
39616594,d5,d18,d20,,
40062468,d4,d4,d23,,
40102852,d7,d27,d29,,
40180342,d5,d7,,,
40507163,d5,d7,,,
40557293,d7,,,,
40667959,d32,d37,,,
40941178,d5,,,,
41683720,d1,d2,d3,,
42152204,d5,d6,d7,,
42192898,d8,d9,d10,,
42262643,d5,d17,,,
42530859,d5,d7,,,
42732325,d5,,,,
43563855,d5,d25,d25,,
43587540,d5,d7,d7,,
43665081,d4,,,,
43691638,d5,,,,
43711765,d5,d7,,,
