userID,0,1,2,3,4,5
6335542,13.09,2.3, 0.78,,,
6715485,13.09,0.58, 2.12, 0.0, 0.0, 0.0
8057247,13.09,1.86,,,,
11311952,13.09,0.0, 0.0, 0.0,,
14662036,13.09,2.58,,,,
15505671,13.09,0.89, 12.34,,,
21459945,13.09,2.79,,,,
25411600,13.09,0.0,,,,
28319952,13.09,1.31, 5.47,,,
30055681,13.09,1.2, 10.2,,,
31191730,13.09,0.47, 14.04, 0.0, 0.0, 0.0
32108646,13.09,16.99,,,,
36252499,13.09,0.12, 0.0, 0.0, 0.0,
36437557,13.09,0.77, 0.0, 0.0,,
36531316,13.09,0.18, 0.0, 0.0,,
36938032,13.09,1.34, 3.87, 0.0,,
37888565,13.09,1.69, 0.0, 11.66,,
39474673,13.09,1.79,,,,
39616594,13.09,2.13, 0.0, 0.26,,
40062468,13.09,27.53, 7.2, 0.0,,
40102852,13.09,4.73, 0.0, 0.0,,
40180342,13.09,1.89, 9.64,,,
40507163,13.09,2.3, 9.95,,,
40557293,13.09,23.73,,,,
40667959,13.09,23.75, 0.0,,,
40941178,13.09,1.62,,,,
41683720,13.09,0.0, 0.0, 0.0,,
42152204,13.09,1.01, 0.0, 4.09,,
42192898,13.09,0.0, 0.0, 0.0,,
42262643,13.09,0.57, 28.45,,,
42530859,13.09,0.6, 5.41,,,
42732325,13.09,0.92,,,,
43563855,13.09,1.41, 0.0, 0.0,,
43587540,13.09,3.54, 2.42, 3.12,,
43665081,13.09,3.59,,,,
43691638,13.09,0.61,,,,
43711765,13.09,1.27, 9.79,,,
