userID,1,2,3,4,5
6335542,"symptoms, causes and prevention of altitude sickness","symptoms, causes and prevention of altitude sickness",,,
6715485,yükseklik hastalığı,yükseklik hastalığı,yükseklik hastalığı,yükseklik hastalığı,yükseklik hastalığı
8057247,"symptoms, causes and prevention of altitude sickness",,,,
11311952,"síntomas, causas y prevención del mal de altura","síntomas, causas y prevención del mal de altura","síntomas, causas y prevención del mal de altura",,
14662036,altitude sickness,,,,
15505671,altitude sickness,altitude sickness,,,
21459945,altitude sickness,,,,
25411600,altitude sickness,,,,
28319952,"symptoms, causes and prevention of altitude sickness","symptoms, causes and prevention of altitude sickness",,,
30055681,causes and prevention of altitude sickness,causes and prevention of altitude sickness,,,
31191730,"symptoms, causes and prevention of altitude sickness","symptoms, causes and prevention of altitude sickness","symptoms, causes and prevention of altitude sickness","symptoms, causes and prevention of altitude sickness","symptoms, causes and prevention of altitude sickness"
32108646,"symptoms, causes and prevention of altitude sickness",,,,
36252499,"symptoms, causes and prevention of altitude sickness","symptoms, causes and prevention of altitude sickness","symptoms, causes and prevention of altitude sickness","symptoms, causes and prevention of altitude sickness",
36437557,symptoms and causes altitude sickness,symptoms and causes altitude sickness,symptoms altitude sickness,,
36531316,"symptoms, causes and prevention of altitude sickness","symptoms, causes and prevention of altitude sickness","symptoms, causes and prevention of altitude sickness",,
36938032,"symptoms, causes and prevention of altitude sickness","symptoms, causes and prevention of altitude sickness","symptoms, causes and prevention of altitude sickness",,
37888565,"symptoms, causes and prevention of altitude sickness","symptoms, causes and prevention of altitude sickness","symptoms, causes and prevention of altitude sickness",,
39474673,"symptoms, causes and prevention of altitude sickness",,,,
39616594,altitude sickness,altitude sickness,altitude sickness,,
40062468,el mal de altura,el mal de altura,el mal de altura sal,,
40102852,highaltitude.co,highaltitude.co,highaltitude.co,,
40180342,"symptoms, causes and prevention of altitude sickness","symptoms, causes and prevention of altitude sickness",,,
40507163,"symptoms, causes and prevention of altitude sickness","symptoms, causes and prevention of altitude sickness",,,
40557293,"symptoms, causes and prevention of altitude sickness",,,,
40667959,высотная болезнь,"высотная болезнь симптомы, причины и предотвращение высотной болезни",,,
40941178,"symptoms, causes and prevention of altitude sickness",,,,
41683720,sintomas causas y prevencion del mal de altura,sintomas causas y prevencion del mal de altura,sintomas causas y prevencion del mal de altura,,
42152204,"symptoms, causes and prevention of altitude sickness","symptoms, causes and prevention of altitude sickness","symptoms, causes and prevention of altitude sickness",,
42192898,боязнь высоты,боязнь высоты,боязнь высоты,,
42262643,"symptoms, causes and prevention of altitude sickness","symptoms, causes and prevention of altitude sickness at sea",,,
42530859,"symptoms, causes and prevention of altitude sickness","symptoms, causes and prevention of altitude sickness",,,
42732325,"symptoms, causes and prevention of altitude sickness",,,,
43563855,altitude sickness,symptoms of altitude sickness,symptoms of altitude sickness,,
43587540,"symptoms, causes and prevention of altitude sickness","symptoms, causes and prevention of altitude sickness","symptoms, causes and prevention of altitude sickness",,
43665081,"sintomas, causas y prevencion del mal de altura",,,,
43691638,causes of altitude sickness,,,,
43711765,"symptoms, causes and prevention of altitude sickness","symptoms, causes and prevention of altitude sickness",,,
