urlid,coef,url
d1,13.77,https://en.wikipedia.org/wiki/Carpenter_bee
d10,0.00,http://www.wikihow.com/Get-Rid-of-Carpenter-Bees
d14,0.00,http://www.fiji-map.com/sprays-para-matar-abejas-carpinteras/
d15,0.00,http://www.opttonline.com/9laDJ96j/
d16,0.00,https://issuu.com/sostenible2011/docs/-abejas-
d17,16.70,http://www.plagasydesinfeccion.com/plagas-en-muebles/abejas-carpinteras.html
d18,0.00,http://www.sciencedirect.com/topics/agricultural-and-biological-sciences/carpenter-bee
d19,0.00,http://ento.psu.edu/extension/factsheets/es/es-carpenter-bees
d2,1.21,http://www.everythingabout.net/articles/biology/animals/arthropods/insects/bees/carpenter_bee/
d20,44.01,http://www.abejapedia.com/abejas-carpinteras/
d22,0.00,https://www.learnaboutnature.com/insects/bees/about-carpenter-bees/
d23,9.21,http://es.orkin.com/plagas-que-pican/abejas/abejas-carpinteras/
d24,0.00,https://en.wikipedia.org/wiki/Bee
d25,0.00,http://www.motherearthnews.com/nature-and-environment/wildlife/carpenter-bees-ze0z1305zpit?PageId=3
d26,0.00,http://pestworldforkids.org/pest-guide/bees/
d27,0.00,http://entnemdept.ufl.edu/creatures/misc/bees/xylocopa.htm
d29,0.00,http://www.turkcebilgi.com/marangozluk
d3,0.00,https://en.wikipedia.org/wiki/Eastern_carpenter_bee
d30,37.78,http://nedircevap.com/arilar-hakkinda-bilgi
d4,13.06,https://www.orkin.com/stinging-pests/bees/carpenter-bee/
d5,100.00,http://ento.psu.edu/extension/factsheets/carpenter-bees
d6,16.11,https://www.fs.fed.us/wildflowers/pollinators/pollinator-of-the-month/carpenter_bees.shtml
d7,0.00,http://www.domyownpestcontrol.com/carpenter-bees-c-142.html
d8,10.53,https://www.thoughtco.com/how-to-control-carpenter-bees-1968073
d9,0.00,https://doyourownpestcontrol.com/Carpenter_Bees.htm
