userID,1,2,3,4,5,6,7
6715485,d29,d29,d30,,,,
26079868,d1,d8,,,,,
29265280,d1,,,,,,
30637650,d1,d2,,,,,
33854160,d1,d9,,,,,
35185245,d3,d5,d8,,,,
35197064,d1,,,,,,
35902657,d18,d24,d25,d26,d27,,
36113457,d1,,,,,,
36472590,d1,,,,,,
39378680,d1,,,,,,
39616594,d1,d2,d6,,,,
39912680,d1,,,,,,
40102852,d1,,,,,,
40180342,d3,,,,,,
41414773,d1,d2,,,,,
41551427,d3,,,,,,
41616896,d1,d8,,,,,
41676176,d19,d20,d23,,,,
41788549,d19,,,,,,
41841934,d1,d1,d1,d4,d5,d6,d7
42082819,d19,,,,,,
42150186,d1,d8,d10,,,,
42262643,d1,,,,,,
42441428,d1,,,,,,
42544704,d1,,,,,,
42607909,d1,,,,,,
42782471,d20,d23,,,,,
42939982,d1,d3,,,,,
42980358,d1,,,,,,
43151235,d1,d5,,,,,
43290162,d14,d15,d16,d17,,,
43348892,d3,,,,,,
43476534,d1,,,,,,
43516157,d17,d19,d20,,,,
43530879,d1,,,,,,
43626682,d3,d22,,,,,
