userID,0,1,2,3,4,5,6,7
6715485,15.69,0.0, 0.0, 4.31,,,,
26079868,15.69,20.91, 3.39,,,,,
29265280,15.69,46.36,,,,,,
30637650,15.69,0.56, 1.69,,,,,
33854160,15.69,24.96, 0.0,,,,,
35185245,15.69,0.0, 0.0, 0.0,,,,
35197064,15.69,41.71,,,,,,
35902657,15.69,0.0, 0.0, 0.0, 0.0, 0.0,,
36113457,15.69,28.62,,,,,,
36472590,15.69,15.32,,,,,,
39378680,15.69,27.84,,,,,,
39616594,15.69,22.15, 0.63, 11.53,,,,
39912680,15.69,16.04,,,,,,
40102852,15.69,4.12,,,,,,
40180342,15.69,0.0,,,,,,
41414773,15.69,30.65, 0.13,,,,,
41551427,15.69,0.0,,,,,,
41616896,15.69,11.22, 10.92,,,,,
41676176,15.69,0.0, 21.15, 2.2,,,,
41788549,15.69,0.0,,,,,,
41841934,15.69,4.44, 0.34, 15.2, 2.51, 0.0, 1.81, 0.0
42082819,15.69,0.0,,,,,,
42150186,15.69,13.18, 5.21, 0.0,,,,
42262643,15.69,17.39,,,,,,
42441428,15.69,42.02,,,,,,
42544704,15.69,0.0,,,,,,
42607909,15.69,1.38,,,,,,
42782471,15.69,24.3, 6.23,,,,,
42939982,15.69,28.62, 0.0,,,,,
42980358,15.69,9.3,,,,,,
43151235,15.69,10.64, 7.1,,,,,
43290162,15.69,0.0, 0.0, 0.0, 21.95,,,
43348892,15.69,0.0,,,,,,
43476534,15.69,19.58,,,,,,
43516157,15.69,19.67, 0.0, 24.95,,,,
43530879,15.69,10.61,,,,,,
43626682,15.69,0.0, 0.0,,,,,
