userID,1,2,3,4,5,6,7
6715485,marangoz arılar hakkında bilgi,marangoz arılar hakkında bilgi,marangoz arılar hakkında bilgi,,,,
26079868,carpenter bees,carpenter bees,,,,,
29265280,carpenter bees; how the look and live,,,,,,
30637650,carpenter bees; how the look and live,carpenter bees; how the look and live,,,,,
33854160,carpenter bee,carpenter bee,,,,,
35185245,carpenter bee,carpenter bee,carpenter bee,,,,
35197064,carpenter bee,,,,,,
35902657,biological species carpenter bees,biological species carpenter bees,biological species carpenter bees,biological species carpenter bees,biological species carpenter bees,,
36113457,carpenter bees; how the look and live,,,,,,
36472590,carpenter bees; how the look and live,,,,,,
39378680,carpenter bees; how the look and live,,,,,,
39616594,carpenter bees; how the look and live,carpenter bees; how the look and live,the biological species carpenter bees,,,,
39912680,carpenter bees how the look and live,,,,,,
40102852,carpenter bees,,,,,,
40180342,biological species carpenter bees,,,,,,
41414773,carpenter bees; how the look and live,carpenter bees; how the look and live,,,,,
41551427,biological species carpenter bees,,,,,,
41616896,carpenter bees; how the look and live,carpenter bees; how the look and live,,,,,
41676176,abejas carpinteras,abejas carpinteras,abejas carpinteras,,,,
41788549,abejas carpinteras,,,,,,
41841934,carpenter bees,carpenter bees,carpenter bees,carpenter bees,carpenter bees,carpenter bees,carpenter bees
42082819,abejas carpinteras,,,,,,
42150186,carpenter bees,carpenter bees,carpenter bees,,,,
42262643,carpenter bees,,,,,,
42441428,carpenter bees; how the look and live,,,,,,
42544704,carpenter bees,,,,,,
42607909,carpenter bees; how the look and live,,,,,,
42782471,abejas carpinteras,abejas carpinteras,,,,,
42939982,carpenter bees,biological species carpenter bees,,,,,
42980358,carpenter bees; how the look and live,,,,,,
43151235,carpenter bees,carpenter bees eat,,,,,
43290162,las abejas carpinteras; cómo la mirada y vivir,las abejas carpinteras; cómo la mirada y vivir,las abejas carpinteras; cómo la mirada y vivir,las abejas carpinteras; cómo la mirada y vivir,,,
43348892,carpenter bees; how the look and live,,,,,,
43476534,carpenter bees; how the look and live,,,,,,
43516157,abejas carpinteras,abejas carpinteras,abejas carpinteras,,,,
43530879,carpenter bees; how the look and live,,,,,,
43626682,biological species carpenter bees,biological species carpenter beescarpenter bees; how the look and live,,,,,
