urlid,coef,url
d1,4.74,https://en.wikipedia.org/wiki/USS_Cole_bombing
d10,95.54,https://es.wikipedia.org/wiki/Mal_de_monta%C3%B1a
d11,0.00,https://www.fbi.gov/history/famous-cases/uss-cole-bombing
d12,100.00,https://www.washingtonpost.com/news/checkpoint/wp/2015/10/12/the-uss-cole-was-bombed-15-years-ago-now-its-a-floating-memorial-to-those-lost/
d13,64.12,http://www.history.com/this-day-in-history/uss-cole-attacked-by-terrorists
d16,0.00,http://www.academia.edu/22070637/AFGAN%C4%B0STAN_%C4%B0NSAN_HAKLARI_RAPORU
d18,81.82,https://es.wikipedia.org/wiki/Atentados_del_11_de_septiembre_de_2001
d2,0.00,https://www.911memorial.org/uss-cole-bombing
d5,0.00,https://en.wikipedia.org/wiki/Bombing_of_the_USS_Cole
d7,0.00,https://terroristgroupsworld.wordpress.com/tag/uss-cole-bombing/
d8,0.00,https://www.barnesandnoble.com/w/mal-de-altura-jon-krakauer/1003878271
d9,0.00,http://netdoctor.elespanol.com/articulo/mal-altura
