queryterm,urlid
000 terrorist attack that came to be known as the uss cole bombing,d1
2000 terrorist attack that came to be known as the uss cole bombing,d13
a boat with explosive material rammed the uss cole,, while it was entering the port aden,d1
ataque terrorista de 2000 que llegó a ser conocido como el uss cole bombing,d18
bombardeo del uss cole,d1
cole bombing,d1
mal de altura,d8,,d9,,d10
the uss cole bombing,d1,,d2,,d11,,d12,,d13
the uss cole bombing' ,d1
uss code bombing,d5
uss cole,d1
uss cole bombardımanı,d16
uss cole bombing,d1,,d2
uss cole bombing attack,d1,,d7
