userID,1,2,3,4,5,6,7
6335542,d2,,,,,,
6715485,d37,,,,,,
11582908,d2,d3,d7,,,,
13396426,d2,,,,,,
15505671,d2,d9,,,,,
25864227,d1,d1,,,,,
26079868,d3,d8,d13,,,,
28282475,d2,,,,,,
28516930,d8,d32,d33,d34,d36,,
33088361,d11,,,,,,
34192482,d13,d40,,,,,
35185245,d23,d24,,,,,
35196805,d2,,,,,,
35197064,d2,,,,,,
35743341,d2,d3,,,,,
36531316,d2,d2,d24,d24,d31,,
36543765,d2,d27,d28,,,,
36736084,d2,d7,,,,,
37953692,d2,d13,d14,,,,
38366313,d2,,,,,,
38608278,d2,d3,d14,d15,d16,,
39616594,d2,d3,d7,,,,
39934712,d2,,,,,,
40619580,d2,,,,,,
40786788,d18,d19,,,,,
41335577,d2,d7,,,,,
41742907,d21,d22,,,,,
42179203,d1,d3,d14,d23,d24,d38,d39
42262643,d2,d7,d7,,,,
42768791,d2,,,,,,
43125608,d2,,,,,,
43310837,d7,,,,,,
43588858,d7,d8,d8,d29,,,
43626682,d2,d7,d20,,,,
43665081,d5,d6,,,,,
43691638,d2,d2,d25,d26,,,
