urlid,coef,url
d1,0.00,http://www.darwins-theory-of-evolution.com/
d10,47.24,http://www.allaboutscience.org/darwins-theory-of-evolution.htm
d11,0.00,http://www.dw.com/es/turqu%C3%ADa-dejar%C3%A1-de-ense%C3%B1ar-la-teor%C3%ADa-de-la-evoluci%C3%B3n-en-la-escuela/a-39394898
d12,4.86,https://en.wikipedia.org/wiki/Thomas_Henry_Huxley
d15,40.76,http://www.ucmp.berkeley.edu/history/evotheory.html
d16,0.00,https://www.nasa.gov/missions/
d17,0.00,https://answers.yahoo.com/question/index?qid=20090926044121AAdpmEt
d18,0.00,http://www.conservapedia.com/Evolution
d19,0.00,https://www.tesla.com/
d2,20.27,https://www.britannica.com/science/evolution-scientific-theory
d21,0.00,http://storyofevolution.com/
d22,0.00,http://www.allaboutthejourney.org/theory-of-evolution.htm
d29,0.00,https://en.wikipedia.org/wiki/Hey
d3,0.00,https://www.livescience.com/474-controversy-evolution-works.html
d34,0.00,https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life
d36,0.00,http://darwiniana.org/books.htm
d38,0.00,http://evrimteorisi.com/
d39,0.00,https://kozmopolitaydinlar.wordpress.com/2011/05/09/evrim-teorisi-nedir-3/
d4,0.00,https://en.wikipedia.org/wiki/Evolution
d40,0.00,http://evolution.powernet.ru/
d41,0.00,http://evoldar.com/evo03.htm
d43,0.00,https://ru.wikipedia.org/wiki/%D0%A1%D0%B8%D0%BD%D1%82%D0%B5%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F_%D1%82%D0%B5%D0%BE%D1%80%D0%B8%D1%8F_%D1%8D%D0%B2%D0%BE%D0%BB%D1%8E%D1%86%D0%B8%D0%B8
d44,0.00,https://ru.wikipedia.org/wiki/%D0%AD%D0%B2%D0%BE%D0%BB%D1%8E%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D0%BE%D0%B5_%D1%83%D1%87%D0%B5%D0%BD%D0%B8%D0%B5
d45,0.00,http://nauka.jofo.me/684687.html
d46,0.00,https://www.youtube.com/watch?v=BfZjublouI0
d47,0.00,http://elementy.ru/trefil/21133/Teoriya_evolyutsii
d48,100.00,https://es.wikipedia.org/wiki/Selecci%C3%B3n_natural
d49,0.00,https://en.wikipedia.org/wiki/Natural_selection
d5,0.00,https://jpl.nasa.gov/missions/
d50,0.00,https://es.wikipedia.org/wiki/S%C3%ADntesis_evolutiva_moderna
d51,0.00,http://www.vix.com/es/btg/curiosidades/3805/como-explicar-la-teoria-de-la-evolucion-de-manera-sencilla
d52,46.96,https://hipertextual.com/2016/02/darwin-evolucion
d54,8.18,https://en.wikipedia.org/wiki/Charles_Darwin
d55,0.00,https://www.britannica.com/biography/Charles-Darwin
d56,5.66,https://pt.wikipedia.org/wiki/A_Origem_das_Esp%C3%A9cies
d57,0.00,https://answersingenesis.org/theory-of-evolution/
d58,0.00,http://www.ucmp.berkeley.edu/history/thuxley.html
d59,19.94,https://en.wikipedia.org/wiki/Modern_evolutionary_synthesis
d6,19.69,https://es.wikipedia.org/wiki/Evoluci%C3%B3n_biol%C3%B3gica
d60,0.00,http://www.talkorigins.org/faqs/modern-synthesis.html
d61,0.00,https://en.wikipedia.org/wiki/Introduction_to_evolution
d63,0.00,https://simple.wikipedia.org/wiki/Evolution
d64,51.07,https://www.theguardian.com/world/2017/jun/23/turkish-schools-to-stop-teaching-evolution-official-says
d66,4.09,http://evolution.berkeley.edu/evolibrary/misconceptions_faq.php
d9,0.00,https://historiaybiografias.com/teoria_evolucion/
