userID,1,2,3,4,5,6,7,8,9,10,11,12
7232683,people evolution during time,people evolution best books,,,,,,,,,,
15439343,what is evolutin,,,,,,,,,,,
25864227,theory of evolution,theory of evolution,,,,,,,,,,
29742803,evolution,,,,,,,,,,,
34122533,teoria de la evolucion,,,,,,,,,,,
34192482,evolution theory,huxley darwin,evolution turkey schools,,,,,,,,,
35902657,теории эволюции,теории эволюции,теории эволюции,теории эволюции,теории эволюции,теории эволюции,теории эволюции,теории эволюции,теории эволюции,теории эволюции,теории эволюции,
36201092,theory of evolution,theory of evolution,theory of evolution,"past, present, and possible future of interplanetary missions that are planned by the nasa",teoría de la evolución,"past, present, and possible future of interplanetary missions that are planned by the nasa",teoría de la evolución,theory of evolution,,,,
36675302,theory of evolution,theory of evolution,theory of evolution,,,,,,,,,
36985538,theory of evolution,theory of evolution,theory of evolution,theory of evolution,,,,,,,,
37741931,teoria evolucion darwin,thomas henry huxley,seleccion natural darwin,seleccion natural darwin,sintesis moderna evolucion,,,,,,,
38986614,teoria de la evolucion,teoria de la evolucion,,,,,,,,,,
39419416,theory of evolution,,,,,,,,,,,
39912680,theory of evolution,theory of evolution,,,,,,,,,,
40062468,thomas henry huxley era amigo de charles darwin,,,,,,,,,,,
40619580,theory of evolution,,,,,,,,,,,
40777535,theory of evolution,theory of evolution,"over time, species evolve towards being bigger, stronger, and more intelligent",evolution implies that individual organisms can evolve during a single lifespan,,,,,,,,
41414773,theory of evolution,theory of evolution,theory of evolution,,,,,,,,,
41742907,tesla motors,story of evolution,,,,,,,,,,
41914129,theory of evolution,theory of evolution,,,,,,,,,,
42082819,teoria de la evolucion,,,,,,,,,,,
42395271,teoría de la evolución,teoría de la evolución,teoría de la evolución,,,,,,,,,
42517948,henry huxley,origem das especies,,,,,,,,,,
42544704,theory of evolution,,,,,,,,,,,
42607909,theory of evolution,,,,,,,,,,,
42647816,theory of evolution,hey,,,,,,,,,,
42674062,theory of evolution,theory of evolution,theory of evolution,turquía debe dejar de enseñar la teoría de la evolución de darwin en las escuelas secundarias,,,,,,,,
43055814,theory of evolution,theory of evolution,theory of evolution,theory of evolution,,,,,,,,
43125608,evrim teorisi,evrim teorisi,,,,,,,,,,
43491544,theory of evolution,theory of evolution,theory of evolution,thomas henry huxley,theory of evolution,theory of evolution,thomas henry huxley charles darwin,modern synthesis,modern synthesis,"modern synthesis is connecting natural selection, mutation theory, and mendelian inheritance into a",modern synthesis,"he forces of evolution are most evident when populations become isolated, either through geographic"
43507316,theory of evolution,theory of evolution,,,,,,,,,,
43509684,theory of evolution,theory of evolution,,,,,,,,,,
43530879,theory of evolution,theory of evolution,,,,,,,,,,
43663333,theory of evolution,theory of evolution,theory of evolution,theory of evolution,charles darwin,charles darwin,,,,,,
43667456,teoría de la evolución,teoría de la evolución,,,,,,,,,,
