urlid,coef,url
d10,0.00,https://es.wikipedia.org/wiki/NASA
d17,3.63,https://en.wikipedia.org/wiki/NASA
d19,0.00,http://cnnespanol.cnn.com/2014/02/07/el-curiosity-toma-una-instantanea-de-la-tierra-desde-marte/
d2,100.00,https://en.wikipedia.org/wiki/Project_Apollo
d20,0.00,https://www.nasa.gov/
d21,51.99,https://en.wikipedia.org/wiki/Space_missions
d22,100.00,http://www.huffingtonpost.com/topic/nasa
d25,41.41,https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%82%D0%B5%D0%B3%D0%BE%D1%80%D0%B8%D1%8F:%D0%9A%D0%BE%D1%81%D0%BC%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5_%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D1%8B_%D0%A1%D0%A8%D0%90
d26,0.00,http://www.e-reading.club/chapter.php/85087/69/Karash_-_Taiiny_lunnoii_gonki.html
d28,0.00,https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D0%B2%D1%8B%D0%B9_%D0%BE%D1%82%D1%80%D1%8F%D0%B4_%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BD%D0%B0%D0%B2%D1%82%D0%BE%D0%B2_%D0%A1%D0%A8%D0%90
d29,15.63,https://en.wikipedia.org/wiki/Exploration_of_Mars
d3,0.00,https://www.nasa.gov/missions/
d32,0.00,https://science.nasa.gov/missions-page
d33,53.74,https://mars.nasa.gov/programmissions/missions/future/mars2020/
d35,0.00,http://www.abbreviations.com/NASA
d38,0.00,https://en.wikipedia.org/wiki/Project_Mercury
d39,0.00,https://en.wikipedia.org/wiki/Apollo_program
d4,100.00,https://jpl.nasa.gov/missions/
d43,0.00,https://navegantecalifornio.wordpress.com/2014/06/12/la-nasa-pasado-presente-y-futuro-la-luna/
d44,0.00,https://josevicentediaz.com/tag/misiones-interplanetarias/
d45,0.00,http://danielmarin.naukas.com/2017/06/19/la-proxima-gran-mision-de-la-nasa-las-sondas-para-estudiar-urano-y-neptuno/
d46,0.00,https://voyager.jpl.nasa.gov/
d47,0.00,https://en.wikipedia.org/wiki/Voyager_program
d48,0.00,https://en.wikipedia.org/wiki/Hubble_Space_Telescope
d49,0.00,https://en.wikipedia.org/wiki/Skylab
d50,100.00,https://www.nasa.gov/mission_pages/skylab/
d51,0.00,http://www.huffingtonpost.com/dr-sten-odenwald/the-journey-to-mars-past-_b_8292152.html
d52,0.00,https://planetaryprotection.arc.nasa.gov/missions-past/
d6,0.00,http://www.darwins-theory-of-evolution.com/
d8,0.00,https://en.wikipedia.org/wiki/List_of_NASA_missions
