urlid,coef,url
d1,11.39,https://en.wikipedia.org/wiki/Orcas_Island
d10,0.00,http://northbeachinn.com/
d12,49.78,https://en.wikipedia.org/wiki/Pig_War
d13,0.00,http://www.evolutionary-metaphysics.net/evolution_of_humankind.html
d14,0.00,https://ru.wikipedia.org/wiki/%D0%9E%D1%80%D0%BA%D0%B0%D1%81
d15,0.00,https://www.tripadvisor.ru/Attraction_Review-g58656-d102441-Reviews-Orcas_Island_Historical_Museum-Orcas_Island_San_Juan_Islands_Washington.html
d17,100.00,https://ru.wikipedia.org/wiki/%D0%A1%D0%BF%D0%B8%D1%81%D0%BE%D0%BA_%D0%BE%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%BE%D0%B2_%D0%B2_%D0%A2%D0%B8%D1%85%D0%BE%D0%BC_%D0%BE%D0%BA%D0%B5%D0%B0%D0%BD%D0%B5
d19,0.00,https://en.wikipedia.org/wiki/Sangre_de_Cristo_Mountains
d2,9.80,http://orcas-island.com/
d20,0.00,https://en.wikipedia.org/wiki/Sangre_de_Cristo_Range
d21,0.00,https://www.britannica.com/place/Sangre-de-Cristo-Mountains
d22,0.00,http://www.mountainphotography.com/gallery/sangres/
d23,0.00,https://en.wikipedia.org/wiki/Orcas_Island_Airport
d24,0.00,https://es.wikipedia.org/wiki/Orcas_Island
d3,0.00,http://orcasisland.org/
d4,0.00,https://www.visitsanjuans.com/about-the-islands/orcas-island
d5,34.39,http://wildlifecycles.com/orcas-island-facts/
d6,0.00,http://orcasislandchamber.com/
d7,100.00,https://www.tripadvisor.com/Tourism-g58656-Orcas_Island_San_Juan_Islands_Washington-Vacations.html
d8,0.00,http://www.gonorthwest.com/Washington/sanjuan/Orcas/orcas_island.htm
d9,0.00,http://theinnonorcasisland.com/
