userID,1,2,3,4,5,6,7,8,9,10
6335542,d3,d8,,,,,,,,
11582908,d1,d1,d1,,,,,,,
19298085,d3,d4,,,,,,,,
21459945,d1,,,,,,,,,
25864227,d1,,,,,,,,,
31266396,d1,d3,,,,,,,,
31275478,d1,,,,,,,,,
34192482,d1,d3,d4,,,,,,,
34394876,d1,d3,,,,,,,,
35185245,d1,d1,,,,,,,,
35196805,d1,,,,,,,,,
36113457,d1,,,,,,,,,
36181479,d14,d15,d17,,,,,,,
36268643,d1,d12,,,,,,,,
36531316,d1,d4,d6,d6,d19,d19,d20,d21,d22,d23
36543765,d2,d3,d3,,,,,,,
37114649,d1,,,,,,,,,
37660122,d1,d3,,,,,,,,
38366313,d1,,,,,,,,,
40062468,d24,,,,,,,,,
40619580,d1,d5,,,,,,,,
40667959,d1,d14,,,,,,,,
40861787,d1,d3,,,,,,,,
41335577,d1,d3,d3,d4,d8,d9,d10,,,
41543048,d1,d3,,,,,,,,
41571219,d1,d3,d3,d6,,,,,,
41742907,d13,,,,,,,,,
42126087,d7,,,,,,,,,
42732325,d1,d3,,,,,,,,
42782471,d1,d3,,,,,,,,
43125608,d1,,,,,,,,,
43310837,d3,,,,,,,,,
43434664,d1,,,,,,,,,
43509684,d1,d3,,,,,,,,
43588858,d3,d4,d6,,,,,,,
43626682,d1,d4,,,,,,,,
43719192,d1,,,,,,,,,
