userID,1,2,3,4,5,6,7,8,9,10
6335542,orcas island,orcas island,,,,,,,,
11582908,orcas island,orcas island,orcas island,,,,,,,
19298085,orcas island,orcas island,,,,,,,,
21459945,orcas island,,,,,,,,,
25864227,orcas island,,,,,,,,,
31266396,orcas island,orcas island,,,,,,,,
31275478,orcas island,,,,,,,,,
34192482,orcas islands,orcas islands,orcas islands,,,,,,,
34394876,orcas island,orcas island,,,,,,,,
35185245,orcas island,orcas island,,,,,,,,
35196805,orcas island,,,,,,,,,
36113457,orcas island,,,,,,,,,
36181479,остров оркас,остров оркас,острове оркас в тихом океане,,,,,,,
36268643,orcas island,the pig war,,,,,,,,
36531316,orcas island,orcas island,orcas island,orcas island,sangre de cristo' mountain range,sangre de cristo' mountain range,sangre de cristo' mountain range,sangre de cristo' mountain range,sangre de cristo' mountain range,orcas island airport
36543765,orcas island,orcas island,orcas island,,,,,,,
37114649,orcas island wiki,,,,,,,,,
37660122,orcas island,orcas island,,,,,,,,
38366313,orcas island,,,,,,,,,
40062468,orcas island se encuentra,,,,,,,,,
40619580,"orcas island is located in florida, usa",orcas island facts,,,,,,,,
40667959,остров оркас,остров оркас,,,,,,,,
40861787,orcas island washington,orcas island,,,,,,,,
41335577,orcas,orcas island info,orcas island,orcas island,orcas,orcas island,orcas island,,,
41543048,orcas island,orcas island,,,,,,,,
41571219,orcas island,orcas island,orcas island,orcas island,,,,,,
41742907,story of evolution,,,,,,,,,
42126087,orcas island,,,,,,,,,
42732325,orcas island,orcas island,,,,,,,,
42782471,orcas island,orcas island,,,,,,,,
43125608,orcas adası,,,,,,,,,
43310837,orcas island,,,,,,,,,
43434664,orcas island,,,,,,,,,
43509684,orcas island,orcas island,,,,,,,,
43588858,orcas island,orcas island,orcas island,,,,,,,
43626682,orcas island,orcas island,,,,,,,,
43719192,orcas island location,,,,,,,,,
