urlid,coef,url
d1,5.73,https://en.wikipedia.org/wiki/Sangre_de_Cristo_Mountains
d11,0.00,http://www.wilderness.net/NWPS/wildView?WID=529
d12,100.00,http://www.mtns.ru/mountains/subrange/sangre_de_cristo_range/
d13,0.00,https://www.ewtn.com/spanish/prayers/oraci%C3%B3n_de_la_sangre_de_cristo.htm
d15,0.00,http://dic.academic.ru/dic.nsf/bse/129869/%D0%A1%D0%B0%D0%BD%D0%B3%D1%80%D0%B5
d2,0.00,http://www.sangres.com/mountains/sangres.htm
d20,43.31,https://en.wikipedia.org/wiki/Blanca_Peak
d21,0.00,http://www.mountainphotography.com/gallery/sangres/
d22,0.00,http://too.by/webimage/countrys/nalnd.html
d23,0.00,https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B5%D1%81%D1%82%D0%BE%D0%BD%D1%8B
d26,0.00,https://bg.wikipedia.org/wiki/%D0%9D%D1%8E_%D0%9C%D0%B5%D0%BA%D1%81%D0%B8%D0%BA%D0%BE
d27,68.63,http://enc-dic.com/enc_sovet/Sangre-de-kristo-79147.html
d3,0.00,http://www.pikespeakphoto.com/sangres/sangre.html
d4,4.81,https://en.wikipedia.org/wiki/Sangre_de_Cristo_Range
d5,100.00,https://en.wikipedia.org/wiki/Rocky_Mountains
d6,78.82,http://wikitravel.org/en/Sangre_de_Cristo_Mountains
d7,0.00,https://www.go-colorado.com/Sangre-De-Cristo-Mountains/
d8,0.00,https://www.britannica.com/place/Sangre-de-Cristo-Mountains
