urlid,coef,url
d1,89.60,http://www.great-quotes.com/quotes/author/Sun/Tzu
d11,100.00,https://archive.org/details/art_of_war_librivox
d13,44.37,https://en.wikipedia.org/wiki/The_Art_of_War
d14,0.00,http://www.history.com/topics/the-art-of-war
d15,0.00,https://www.goodreads.com/author/quotes/1771.Sun_Tzu
d16,0.00,https://suntzusaid.com/book/13
d18,0.00,https://ru.wikipedia.org/wiki/%D0%A1%D1%83%D0%BD%D1%8C-%D1%86%D0%B7%D1%8B
d19,53.46,https://ru.wikipedia.org/wiki/%D0%98%D1%81%D0%BA%D1%83%D1%81%D1%81%D1%82%D0%B2%D0%BE_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B
d2,13.35,https://en.wikipedia.org/wiki/Sun_Tzu
d20,100.00,https://www.thoughtco.com/sun-tzu-and-the-art-of-war-195124
d21,0.00,http://www.facts-about-india.com/history-of-india.php
d22,0.00,http://www.mapsofindia.com/history/
d23,0.00,http://www.brainyquote.com/quotes/authors/s/sun_tzu.html
d24,0.00,http://www.military-quotes.com/Sun-Tzu.htm
d25,0.00,https://www.amazon.com/Art-War-Chinese-Binding/dp/0785829229
d26,0.00,https://www.amazon.com/Art-War-Sun-Tzu/dp/1945644036
d27,22.40,https://en.wikipedia.org/wiki/Art_of_war
d28,0.00,https://play.google.com/store/books/details/Sun_Tzu_Sun_Tzu_The_Art_of_War?id=xUtTAQAAQBAJ
d29,86.62,http://www.scienceofstrategy.org/main/content/and-after-effect-sun-tzus-strategy-chinese-history
d3,8.20,http://www.history.com/topics/sun-tzu
d31,31.49,http://classics.mit.edu/Tzu/artwar.html
d32,0.00,http://simplyknowledge.com/popular/biography/sun-tzu
d33,0.00,https://en.wikipedia.org/wiki/Sunzi
d34,0.00,https://www.fanfiction.net/s/12445875/1/Heroic-Endeavor
d36,0.00,http://www.instructables.com/id/How-to-Make-a-Repeating-Crossbow/
d37,0.00,https://tr.wikipedia.org/wiki/Sun_Tzu
d38,0.00,http://www.7clingo.com/5-facts-about-sun-tzu-before-the-art-of-war/
d39,0.00,https://www.britannica.com/biography/Sunzi
d40,0.00,http://refspace.com/quotes/The_Art_of_War
d5,0.00,https://es.wikipedia.org/wiki/El_arte_de_la_guerra
d6,0.00,http://gorinkai.com/textos/suntzu.htm
d7,0.00,http://www.thefamouspeople.com/profiles/sun-tzu-261.php
d8,0.00,http://www.ancient.eu/Sun-Tzu/
d9,100.00,https://www.goodreads.com/work/quotes/3200649-s-nzi-b-ngf
