urlid,coef,url
d1,56.16,http://www.diffen.com/difference/Hurricane_vs_Tornado
d10,0.00,https://www.wunderground.com/resources/education/tornadoFAQ.asp
d11,100.00,http://www.extremescience.com/tornadoes.htm
d12,0.00,http://commons.wikimedia.org/wiki/Tornado
d13,0.00,https://weather.com/storms/tornado
d14,100.00,http://www.nssl.noaa.gov/education/svrwx101/tornadoes/
d15,0.00,https://otvet.mail.ru/question/44597461
d16,0.00,http://nsportal.ru/ap/library/drugoe/2012/12/25/tornado-groznoe-yavlenie-prirody
d17,0.00,http://fb.ru/article/144600/prirodnyie-yavleniya-stihiynyie-i-opasnyie-prirodnyie-yavleniya
d18,0.00,http://fb.ru/article/162336/chem-otlichaetsya-smerch-ot-tornado-chto-silnee---smerch-ili-tornado
d2,4.82,https://en.wikipedia.org/wiki/Tornado
d3,0.00,https://medlineplus.gov/spanish/tornadoes.html
d4,2.88,https://es.wikipedia.org/wiki/Tornado
d5,68.50,https://www.ready.gov/tornadoes
d6,0.00,http://www.nationalgeographic.com/environment/natural-disasters/tornadoes/
d7,0.00,http://www.weatherwizkids.com/weather-tornado.htm
d8,27.08,http://www.tornadoproject.com/cellar/wordfort.htm
d9,14.82,https://en.wikipedia.org/wiki/Tornadoes
