userID,0,1,2,3,4
6335542,14.09,20.09,,,
6715485,14.09,14.75,,,
11582908,14.09,44.44,44.44,,
13396426,14.09,14.41,,,
15505671,14.09,21.45,21.45,21.45,
19298085,14.09,19.12,,,
25864227,14.09,49.00,50.00,,
31511492,14.09,16.33,40.72,40.72,41.87
33088361,14.09,14.41,,,
33854160,14.09,20.79,,,
35185245,14.09,23.57,,,
35902657,14.09,14.09,14.09,14.09,14.09
35914895,14.09,16.90,16.90,17.93,22.22
36268643,14.09,38.41,,,
37953692,14.09,25.79,25.79,31.52,33.47
38366313,14.09,19.81,,,
39616594,14.09,20.93,,,
40580435,14.09,21.99,,,
40619580,14.09,19.77,19.77,,
40786788,14.09,14.09,,,
41335577,14.09,35.00,,,
41387391,14.09,15.50,,,
42143389,14.09,17.10,28.49,28.49,
42262643,14.09,14.09,,,
42768791,14.09,16.52,,,
42861604,14.09,14.09,,,
43125608,14.09,19.01,,,
43310837,14.09,14.09,,,
43493488,14.09,14.54,17.82,17.82,
43563855,14.09,38.85,38.85,,
43611345,14.09,23.17,,,
43626682,14.09,15.69,15.69,15.69,
43629409,14.09,22.81,,,
43665081,14.09,14.09,16.66,,
43691638,14.09,30.53,46.97,46.97,46.97
