userID,1,2,3,4
6335542,d2,,,
6715485,d14,,,
11582908,d9,d10,,
13396426,d2,,,
15505671,d2,d6,d7,
19298085,d2,,,
25864227,d1,d2,,
31511492,d2,d5,d6,d14
33088361,d2,,,
33854160,d2,,,
35185245,d2,,,
35902657,d15,d16,d17,d18
35914895,d2,d2,d2,d8
36268643,d2,,,
37953692,d9,d10,d11,d11
38366313,d2,,,
39616594,d2,,,
40580435,d2,,,
40619580,d2,d6,,
40786788,d12,,,
41335577,d2,,,
41387391,d2,,,
42143389,d2,d5,d6,
42262643,d5,,,
42768791,d2,,,
42861604,d10,,,
43125608,d2,,,
43310837,d10,,,
43493488,d2,d2,d6,
43563855,d5,d6,,
43611345,d2,,,
43626682,d2,d6,d7,
43629409,d2,,,
43665081,d3,d4,,
43691638,d2,d2,d13,d13
