userID,1,2,3,4
6335542,tornado,,,
6715485,tornado,,,
11582908,weather phenomenon that is called tornado,weather phenomenon that is called tornado,,
13396426,tornado,,,
15505671,tornado,tornado,tornado,
19298085,tornado,,,
25864227,tornado hurricane,tornado rotation direction,,
31511492,tornado,tornado,tornado,tornado
33088361,tornado,,,
33854160,tornado,,,
35185245,tornado,,,
35902657,"погодном явлении, которое называется «торнадо»","погодном явлении, которое называется «торнадо»","погодном явлении, которое называется «торнадо»","погодном явлении, которое называется «торнадо»"
35914895,tornado,tornado,tornado,tornado word from
36268643,tornado,,,
37953692,weather phenomenon that is called tornado,weather phenomenon that is called tornado,weather phenomenon that is called tornado,weather phenomenon tornado
38366313,tornado,,,
39616594,tornado,,,
40580435,tornado,,,
40619580,tornado,tornado,,
40786788,торнадо,,,
41335577,tornado,,,
41387391,tornado,,,
42143389,tornado,tornado,tornado,
42262643,tornado,,,
42768791,tornado,,,
42861604,weather phenomenon that is called tornado,,,
43125608,tornado,,,
43310837,weather phenomenon that is called tornado,,,
43493488,tornado,tornado,tornado,
43563855,tornado,tornado,,
43611345,tornado,,,
43626682,tornado,tornado,tornado,
43629409,tornado,,,
43665081,tornados espanol,tornados espanol wikipedia,,
43691638,tornado,tornado,tornado,tornado
