,1,2,3,4,5,6,7,8,9,10,11,12
AltS,3.731351351,8.411351351,9.606976351,9.606976351,,,,,,,,
ARWar,11.94514286,16.98569841,28.78369841,28.78369841,,,,,,,,
Bees,13.28621622,16.44121622,22.90677177,31.06010511,31.06010511,32.87010511,32.87010511,,,,,
Bombing,6.42,12.976,24.95266667,24.95266667,,,,,,,,
Evolution,1.048571429,2.662417582,8.499340659,11.17045177,12.56245177,12.56245177,12.56245177,12.56245177,15.36245177,15.36245177,15.36245177,15.36245177
NASA,5.475416667,7.840083333,8.667583333,8.667583333,8.667583333,8.667583333,8.667583333,,,,,
Orcas,13.43974359,15.82374359,17.59499359,17.59499359,17.59499359,17.59499359,17.59499359,17.59499359,17.59499359,,,
Sangre,5.889714286,7.025428571,11.37292857,12.42292857,12.83292857,22.75292857,22.75292857,22.75292857,22.75292857,,,
SunTzu,9.222222222,15.41483092,17.04636938,24.72803605,26.02053605,26.02053605,,,,,,
Tornado,7.487714286,11.707,12.45811111,13.93611111,,,,,,,,
